client_id,client_name,first_name,last_name,email,preferred_server,session_duration,message_count,initial_message,response_pattern,rating_tendency,arrival_offset,priority,client_type,expected_wait_tolerance,chat_complexity,technical_level,satisfaction_threshold,retry_attempts,preferred_response_time,session_goal
1,Uma_Lewis_0001,Uma,Lewis,uma.lewis1@test.net,Server_A,1178,42,I'm experiencing problems with login,random,positive,47854,medium,returning,59,medium,intermediate,3,2,34,information
2,Ivy_Baker_0002,Ivy,Baker,ivy.baker2@test.net,Any,1647,11,Can you help me reset my password?,quick,random,39300,high,returning,406,simple,advanced,5,3,8,technical
3,Sage_Clark_0003,Sage,Clark,sage.clark3@hotmail.com,Server_C,892,28,I'm experiencing problems with login,slow,neutral,65040,low,returning,109,complex,advanced,2,2,47,complaint
4,Yara_Campbell_0004,Yara,Campbell,yara.campbell4@company.com,Server_B,234,29,My account is not working properly,slow,positive,47824,low,new,541,complex,advanced,2,3,23,information
5,River_Rivera_0005,River,Rivera,river.rivera5@test.net,Server_C,638,40,I have a question about your service,quick,positive,36013,high,premium,164,medium,intermediate,3,1,52,technical
6,Casey_Johnson_0006,Casey,Johnson,casey.johnson6@yahoo.com,Server_C,909,43,Can you help me with a technical issue?,random,positive,19309,high,returning,147,medium,advanced,3,1,23,information
7,Charlie_Johnson_0007,Charlie,Johnson,charlie.johnson7@client.biz,Any,1515,40,Could you explain how this feature works?,slow,positive,23037,low,premium,534,medium,advanced,5,1,12,purchase
8,Unique_Rivera_0008,Unique,Rivera,unique.rivera8@client.biz,Any,1404,14,I have a question about your service,random,positive,35261,high,new,412,simple,beginner,2,2,27,complaint
9,Sage_Perez_0009,Sage,Perez,sage.perez9@yahoo.com,Server_C,1432,43,Can you help me with a technical issue?,medium,negative,53173,medium,new,568,complex,advanced,2,2,28,support
10,Morgan_Martin_0010,Morgan,Martin,morgan.martin10@outlook.com,Server_C,1405,37,There's an error in my order,medium,neutral,35101,low,premium,550,complex,beginner,4,2,46,support
11,Ivy_Moore_0011,Ivy,Moore,ivy.moore11@client.biz,Server_C,822,17,I need help with configuration,random,random,76387,high,returning,358,complex,intermediate,2,3,57,technical
12,Frank_Nelson_0012,Frank,Nelson,frank.nelson12@demo.io,Server_B,372,17,I need help with integration,slow,random,81983,medium,premium,501,simple,advanced,3,1,59,complaint
13,Xavier_White_0013,Xavier,White,xavier.white13@gmail.com,Server_B,710,38,There's a bug in the application,medium,positive,15242,medium,new,60,simple,beginner,5,2,13,purchase
14,Xavier_Garcia_0014,Xavier,Garcia,xavier.garcia14@test.net,Server_A,238,22,I have a complaint about the service,random,negative,38493,medium,returning,146,medium,beginner,3,2,5,complaint
15,Taylor_Garcia_0015,Taylor,Garcia,taylor.garcia15@outlook.com,Server_A,579,29,Can you help me with a technical issue?,quick,negative,74167,medium,returning,393,medium,beginner,4,3,60,purchase
16,Alex_Scott_0016,Alex,Scott,alex.scott16@yahoo.com,Any,1398,17,I have a complaint about the service,slow,negative,24118,high,premium,363,simple,intermediate,3,1,22,complaint
17,Kendall_Jackson_0017,Kendall,Jackson,kendall.jackson17@gmail.com,Server_A,179,46,I want to upgrade my plan,quick,negative,76966,high,returning,508,medium,advanced,2,3,42,complaint
18,Ivy_Garcia_0018,Ivy,Garcia,ivy.garcia18@test.net,Server_A,1506,41,Can you help me reset my password?,random,positive,37069,high,premium,564,complex,intermediate,5,3,29,support
